time_received,False,True
14793109404,0,3
14793109405,0,4
14793109406,0,5
14793109407,0,4
14793109408,0,4
14793109409,0,4
14793109410,0,4
14793109411,0,4
14793109412,0,4
14793109413,0,5
14793109414,0,4
14793109415,0,6
14793109416,0,5
14793109417,0,4
14793109418,0,5
14793109419,0,3
14793109420,0,5
14793109421,0,3
14793109422,0,5
14793109423,0,5
14793109424,0,5
14793109425,0,5
14793109426,0,5
14793109427,0,5
14793109428,0,5
14793109429,0,6
14793109430,0,6
14793109431,0,6
14793109432,0,6
14793109433,0,4
14793109434,0,4
14793109435,0,4
14793109436,0,7
14793109437,0,5
14793109438,0,6
14793109439,0,5
14793109440,0,6
14793109441,0,5
14793109442,0,5
14793109443,0,5
14793109444,0,5
14793109445,0,5
14793109446,1,4
14793109447,1,4
14793109448,1,5
14793109449,1,4
14793109450,1,3
14793109451,1,4
14793109452,1,5
14793109453,1,4
14793109454,1,4
14793109455,1,4
14793109456,1,4
14793109457,1,4
14793109458,1,4
14793109459,1,3
14793109460,0,5
14793109461,0,3
14793109462,1,5
14793109463,0,4
14793109464,0,5
14793109465,0,3
14793109466,1,5
14793109467,1,4
14793109468,1,4
14793109469,1,6
14793109470,0,5
14793109471,1,5
14793109472,1,5
14793109473,1,6
14793109474,0,6
14793109475,1,6
14793109476,1,6
14793109477,1,6
14793109478,0,5
14793109479,0,6
14793109480,0,5
14793109481,1,5
14793109482,1,4
14793109483,0,6
14793109484,0,4
14793109485,1,3
14793109486,1,5
14793109487,0,4
14793109488,1,3
14793109489,1,5
14793109490,0,5
14793109491,1,4
14793109492,1,4
14793109493,1,5
14793109494,0,3
14793109495,0,6
14793109496,0,3
14793109497,1,4
14793109498,0,4
14793109499,1,4
14793109500,0,4
14793109501,0,6
14793109502,0,6
14793109503,0,5
14793109504,0,3
14793109505,0,4
14793109506,0,3
14793109507,1,3
14793109508,0,4
14793109509,0,3
14793109510,0,4
14793109511,0,2
14793109512,0,5
14793109513,0,4
14793109514,0,5
14793109515,0,3
14793109516,0,4
14793109517,0,4
14793109518,0,4
14793109519,0,4
14793109520,0,5
14793109521,0,4
14793109522,0,4
14793109523,0,3
14793109524,0,3
14793109525,0,4
14793109526,0,3
14793109527,0,4
14793109528,0,4
14793109529,0,3
14793109530,0,3
14793109531,0,4
14793109532,0,5
14793109533,0,3
14793109534,0,3
14793109535,0,5
14793109536,0,4
14793109537,0,4
14793109538,0,5
14793109539,0,4
14793109540,0,3
14793109541,0,2
14793109542,0,4
14793109543,0,5
14793109544,0,4
14793109545,0,3
14793109546,0,4
14793109547,0,4
14793109548,0,5
14793109549,0,4
14793109550,0,4
14793109551,0,4
14793109552,0,3
14793109553,0,4
14793109554,0,4
14793109555,0,4
14793109556,0,4
14793109557,0,4
14793109558,0,3
14793109559,0,2
14793109560,0,5
14793109561,0,3
14793109562,0,4
14793109563,0,5
14793109564,0,4
14793109565,0,4
14793109566,0,5
14793109567,0,5
14793109568,0,5
14793109569,0,4
14793109570,0,3
14793109571,0,3
14793109572,0,2
14793109573,0,4
14793109574,0,2
14793109575,0,3
14793109576,0,2
14793109577,0,3
14793109578,0,3
14793109579,0,4
14793109580,0,4
14793109581,0,3
14793109582,1,4
14793109583,1,3
14793109584,0,3
14793109585,1,3
14793109586,1,3
14793109587,1,3
14793109588,1,4
14793109589,0,3
14793109590,2,5
14793109591,1,3
14793109592,1,3
14793109593,1,2
14793109594,1,5
14793109595,0,2
14793109596,0,3
14793109597,1,3
14793109598,1,3
14793109599,0,3
14793109600,0,3
14793109601,0,4
14793109602,0,4
14793109603,0,2
14793109604,0,2
14793109605,1,3
14793109606,0,6
14793109607,0,3
14793109608,0,4
14793109609,0,4
14793109610,0,2
14793109611,0,4
14793109612,0,3
14793109613,0,2
14793109614,0,4
14793109615,0,4
14793109616,0,4
14793109617,0,4
14793109618,0,3
14793109619,0,6
14793109620,0,4
14793109621,0,5
14793109622,0,4
14793109623,0,3
14793109624,0,5
14793109625,0,5
14793109626,0,5
14793109627,0,4
14793109628,0,6
14793109629,0,3
14793109630,0,5
14793109631,0,5
14793109632,0,3
14793109633,0,5
14793109634,0,4
14793109635,0,5
14793109636,0,5
14793109637,0,5
14793109638,0,6
14793109639,0,6
14793109640,0,3
14793109641,0,7
14793109642,0,6
14793109643,0,4
14793109644,0,3
14793109645,0,3
14793109646,0,3
14793109647,0,7
14793109648,0,4
14793109649,0,4
14793109650,0,4
14793109651,0,4
14793109652,0,4
14793109653,0,4
14793109654,0,5
14793109655,0,3
14793109656,0,4
14793109657,0,4
14793109658,0,4
14793109659,0,5
14793109660,0,5
14793109661,0,4
14793109662,0,6
14793109663,0,5
14793109664,0,6
14793109665,0,5
14793109666,0,7
14793109667,0,5
14793109668,0,7
14793109669,0,4
14793109670,0,5
14793109671,0,6
14793109672,0,7
14793109673,0,5
14793109674,0,5
14793109675,0,4
14793109676,0,6
14793109677,0,5
14793109678,0,4
14793109679,0,4
14793109680,0,5
14793109681,0,4
14793109682,0,7
14793109683,0,4
14793109684,0,6
14793109685,0,4
14793109686,0,5
14793109687,0,5
14793109688,0,5
14793109689,0,5
14793109690,0,6
14793109691,0,6
14793109692,0,5
14793109693,0,7
14793109694,0,6
14793109695,0,5
14793109696,0,4
14793109697,0,4
14793109698,0,4
14793109699,0,5
14793109700,0,4
14793109701,0,4
14793109702,0,4
14793109703,0,4
14793109704,0,4
14793109705,0,4
14793109706,0,5
14793109707,0,4
